strategy_name,window_label,group_type,group_value,total_trades,wins,losses,win_rate,profit_factor,net_profit,average_trade,max_drawdown,max_consecutive_losses
proxy_hardened_no_worst_hours,last_30_trades,score_bucket,score_80_89,12,7,5,58.333333333333336,3.0987045251588974,317.92438600982325,26.49369883415194,89.70084972475203,3
proxy_hardened_no_worst_hours,last_30_trades,score_bucket,score_90_plus,10,4,6,40.0,0.8018723185290867,-79.83637357118238,-7.983637357118238,194.20059314740556,2
proxy_hardened_no_worst_hours,last_30_trades,day_of_week,Friday,6,1,5,16.666666666666664,0.6009132274703857,-73.01374814679815,-12.168958024466358,182.9520624900695,5
proxy_hardened_no_worst_hours,last_30_trades,day_of_week,Monday,4,2,2,50.0,0.7141327060887142,-46.99151734161626,-11.747879335404065,164.38227926906285,2
proxy_hardened_no_worst_hours,last_30_trades,day_of_week,Sunday,1,0,1,0.0,0.0,-29.058743967067276,-29.058743967067276,29.058743967067276,1
proxy_hardened_no_worst_hours,last_30_trades,day_of_week,Thursday,6,2,4,33.33333333333333,0.7341386460336768,-61.47107375934405,-10.245178959890675,168.25888375459937,2
proxy_hardened_no_worst_hours,last_30_trades,day_of_week,Tuesday,5,2,3,40.0,1.0883155133949312,11.206178440231469,2.241235688046294,104.53987300946238,2
proxy_hardened_no_worst_hours,last_30_trades,day_of_week,Wednesday,8,5,3,62.5,3.9784284990321868,243.41722642386117,30.427153302982646,47.807217520536426,2
proxy_hardened_no_worst_hours,last_50_trades,session,LONDON,38,17,21,44.73684210526316,1.325118462608235,304.20064210491915,8.005280055392609,272.4364211400741,3
proxy_hardened_no_worst_hours,last_50_trades,session,NEW YORK,12,2,10,16.666666666666664,0.33643093117847495,-251.82535199012446,-20.98544599917704,302.58533735251854,6
proxy_hardened_no_worst_hours,last_50_trades,hour,10,13,4,9,30.76923076923077,0.6289975539679217,-140.56433131804263,-10.812640870618663,250.6238235983944,4
proxy_hardened_no_worst_hours,last_50_trades,hour,13,13,6,7,46.15384615384615,1.4741415712511436,143.4094364067805,11.031495108213884,115.6567940939861,2
proxy_hardened_no_worst_hours,last_50_trades,hour,14,6,4,2,66.66666666666666,4.009227853777079,201.3945414024957,33.56575690041595,39.50068653174108,1
proxy_hardened_no_worst_hours,last_50_trades,hour,15,6,3,3,50.0,1.5334184610233237,99.96099561368564,16.660165935614273,153.4774414757706,2
proxy_hardened_no_worst_hours,last_50_trades,hour,18,7,1,6,14.285714285714285,0.31025423388071416,-170.9968233021983,-24.428117614599756,170.9968233021983,4
proxy_hardened_no_worst_hours,last_50_trades,hour,19,4,1,3,25.0,0.49507557971872546,-51.76978472085886,-12.942446180214715,102.52977008325294,3
