strategy_name,window_size,worst_metric,start_trade_number,end_trade_number,start_time,end_time,rolling_profit_factor,rolling_net_profit,rolling_max_drawdown,rolling_consecutive_losses,degradation_start_time,worst_session,worst_hour,worst_side,worst_signal_reason
proxy_hardened_no_worst_hours,30,rolling_profit_factor,291,320,2023-06-28 14:45:00,2023-08-23 10:45:00,0.34332560526783706,-53.74843852519611,58.13783380164163,7,2022-05-12 13:00:00,LONDON,13,SELL,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=SELL | score=96.0 | opposite_score=4.0 | session=LONDON | RR=2.00
proxy_hardened_no_worst_hours,50,rolling_profit_factor,270,319,2023-05-26 15:45:00,2023-08-22 14:45:00,0.574026569289976,-57.22343395234997,61.92983009038272,7,2022-09-01 15:00:00,LONDON,18,BUY,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=89.0 | opposite_score=30.0 | session=NEW YORK | RR=2.00
proxy_hardened_no_worst_hours,100,rolling_profit_factor,235,334,2023-04-03 19:00:00,2023-09-22 14:00:00,0.7500110751038687,-67.7684835812822,77.28598259354231,7,2022-12-09 13:45:00,LONDON,13,BUY,V50 realtime loss proxy | variant=proxy_hardened_no_worst_hours | Side=BUY | score=96.0 | opposite_score=4.0 | session=LONDON | RR=2.00
