strategy_name,starting_equity,ending_equity,net_profit,profit_factor_net,max_dd_pct,max_dd_eur,total_trades,trades_per_day,win_rate,avg_win,avg_loss,expectancy,max_consecutive_losses,worst_day,worst_week,worst_month,months_positive,months_negative,no_trade_days,max_no_trade_days,time_to_1500_if_reached,trades_to_1500_if_reached,time_to_2000_if_reached,trades_to_2000_if_reached,time_to_002_lot_if_reached,trades_to_002_lot_if_reached,returned_below_1000_after_growth,drawdown_over_8_pct,drawdown_over_10_pct,drawdown_over_12_pct,equity_min,equity_max,lot_min,lot_max
proxy_hardened_no_worst_hours,1000.0,2759.44857790347,1759.448577903405,1.4029252734987274,10.033159339081424,272.43642114007343,860,0.6534954407294833,40.46511627906977,17.60383803973516,-8.528685663914903,2.045870439422564,10,-135.88002373607756,-246.2115713486773,-232.61763890589327,37,15,654,8,1092,621,1423,791,1426,792,False,True,True,False,1006.2710853635593,2759.44857790347,0.01,0.02
proxy_hardened_no_worst_hours_high_margin,1000.0,2134.0510286860504,1134.0510286860026,1.408986061059531,7.47267231855465,97.10029657370251,680,0.5167173252279635,40.14705882352941,14.310939303457603,-6.812863393508408,1.6677221010088275,10,-67.94001186803878,-56.95559404898751,-50.158627827595495,38,14,768,9,1327,593,1532,676,1532,677,False,False,False,False,1004.6350930033104,2134.0510286860504,0.01,0.02
