strategy_name,date,trades,skipped_trades,net_profit,gross_profit,gross_loss,ending_equity,max_drawdown_eur,max_drawdown_percent,daily_stopped,positive_day,negative_day
proxy_hardened_no_worst_hours,2022-02-11,0,0,0.0,0.0,0.0,1000.0,0.0,0.0,False,False,False
proxy_hardened_no_worst_hours,2022-02-13,0,0,0.0,0.0,0.0,1000.0,0.0,0.0,False,False,False
proxy_hardened_no_worst_hours,2022-02-14,0,0,0.0,0.0,0.0,1000.0,0.0,0.0,False,False,False
proxy_hardened_no_worst_hours,2022-02-15,0,0,0.0,0.0,0.0,1000.0,0.0,0.0,False,False,False
proxy_hardened_no_worst_hours,2022-02-16,2,0,14.976095367127837,14.976095367127837,0.0,1014.9760953671278,0.0,0.0,False,True,False
proxy_hardened_no_worst_hours,2022-02-17,0,0,0.0,0.0,0.0,1014.9760953671278,0.0,0.0,False,False,False
proxy_hardened_no_worst_hours,2022-02-18,2,0,3.7403487518755263,7.810265752133473,4.069917000257947,1018.7164441190032,4.069917000257988,0.40098648813850685,False,True,False
proxy_hardened_no_worst_hours,2022-02-20,0,0,0.0,0.0,0.0,1018.7164441190032,0.0,0.0,False,False,False
proxy_hardened_no_worst_hours,2022-02-21,1,0,-3.5278869451252195,0.0,3.5278869451252195,1015.1885571738779,3.5278869451252604,0.34630705781688004,False,False,True
proxy_hardened_no_worst_hours,2022-02-22,0,0,0.0,0.0,0.0,1015.1885571738779,0.0,0.0,False,False,False
proxy_hardened_no_worst_hours,2022-02-23,1,0,6.419745837894807,6.419745837894807,0.0,1021.6083030117727,0.0,0.0,False,True,False
proxy_hardened_no_worst_hours,2022-02-24,0,0,0.0,0.0,0.0,1021.6083030117727,0.0,0.0,False,False,False
proxy_hardened_no_worst_hours,2022-02-25,0,0,0.0,0.0,0.0,1021.6083030117727,0.0,0.0,False,False,False
proxy_hardened_no_worst_hours,2022-02-27,0,0,0.0,0.0,0.0,1021.6083030117727,0.0,0.0,False,False,False
proxy_hardened_no_worst_hours,2022-02-28,2,0,-11.704122411272383,0.0,11.704122411272383,1009.9041806005002,11.704122411272465,1.1456565473056448,False,False,True
proxy_hardened_no_worst_hours,2022-03-01,1,0,12.52412417368866,12.52412417368866,0.0,1022.4283047741889,0.0,0.0,False,True,False
proxy_hardened_no_worst_hours,2022-03-02,0,0,0.0,0.0,0.0,1022.4283047741889,0.0,0.0,False,False,False
proxy_hardened_no_worst_hours,2022-03-03,2,0,2.862153781812676,7.748276786746073,4.886123004933397,1025.2904585560016,4.886123004933438,0.47789394934763424,False,True,False
proxy_hardened_no_worst_hours,2022-03-04,2,0,23.472310729241,23.472310729241,0.0,1048.7627692852427,0.0,0.0,False,True,False
proxy_hardened_no_worst_hours,2022-03-06,0,0,0.0,0.0,0.0,1048.7627692852427,0.0,0.0,False,False,False
proxy_hardened_no_worst_hours,2022-03-07,0,0,0.0,0.0,0.0,1048.7627692852427,0.0,0.0,False,False,False
proxy_hardened_no_worst_hours,2022-03-08,2,0,-3.3308698940537926,15.143296230114329,18.47416612416812,1045.431899391189,18.47416612416805,1.7364471096627452,False,False,True
proxy_hardened_no_worst_hours,2022-03-09,0,0,0.0,0.0,0.0,1045.431899391189,0.0,0.0,False,False,False
proxy_hardened_no_worst_hours,2022-03-10,1,0,-9.726610453773747,0.0,9.726610453773747,1035.7052889374154,28.200776577941724,2.650682940159876,False,False,True
proxy_hardened_no_worst_hours,2022-03-11,1,0,-10.945992030380994,0.0,10.945992030380994,1024.7592969070345,39.146768608322645,3.6795324208777695,False,False,True
proxy_hardened_no_worst_hours,2022-03-13,0,0,0.0,0.0,0.0,1024.7592969070345,0.0,0.0,False,False,False
proxy_hardened_no_worst_hours,2022-03-14,1,0,13.920205582748322,13.920205582748322,0.0,1038.6795024897829,25.22656302557425,2.3711269108475737,False,True,False
proxy_hardened_no_worst_hours,2022-03-15,2,1,27.983879373993286,27.983879373993286,0.0,1066.6633818637763,12.960453199204721,1.218195254195366,True,True,False
proxy_hardened_no_worst_hours,2022-03-16,0,0,0.0,0.0,0.0,1066.6633818637763,0.0,0.0,False,False,False
