strategy_name,paper_order_id,entry_time,equity_before,equity_after,running_equity_high,drawdown_eur,drawdown_percent,lot_size,pnl_eur
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000001,2022-02-16 13:30:00,1000.0,1006.2710853635593,1006.2710853635593,0.0,0.0,0.01,6.2710853635593775
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000002,2022-02-16 19:30:00,1006.2710853635593,1014.9760953671278,1014.9760953671278,0.0,0.0,0.01,8.705010003568459
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000003,2022-02-18 14:30:00,1014.9760953671278,1010.9061783668698,1014.9760953671278,4.069917000257988,0.40098648813850685,0.01,-4.069917000257947
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000004,2022-02-18 18:00:00,1010.9061783668698,1018.7164441190032,1018.7164441190032,0.0,0.0,0.01,7.810265752133473
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000005,2022-02-21 13:00:00,1018.7164441190032,1015.1885571738779,1018.7164441190032,3.5278869451252604,0.34630705781688004,0.01,-3.5278869451252195
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000006,2022-02-23 19:30:00,1015.1885571738779,1021.6083030117727,1021.6083030117727,0.0,0.0,0.01,6.419745837894807
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000007,2022-02-28 14:45:00,1021.6083030117727,1014.8982176153908,1021.6083030117727,6.710085396381942,0.656815863438085,0.01,-6.710085396381901
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000008,2022-02-28 21:15:00,1014.8982176153908,1009.9041806005002,1021.6083030117727,11.704122411272465,1.1456565473056448,0.01,-4.994037014890482
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000009,2022-03-01 15:00:00,1009.9041806005002,1022.4283047741889,1022.4283047741889,0.0,0.0,0.01,12.52412417368866
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000010,2022-03-03 10:30:00,1022.4283047741889,1017.5421817692554,1022.4283047741889,4.886123004933438,0.47789394934763424,0.01,-4.886123004933397
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000011,2022-03-03 21:45:00,1017.5421817692554,1025.2904585560016,1025.2904585560016,0.0,0.0,0.01,7.748276786746073
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000012,2022-03-04 10:00:00,1025.2904585560016,1034.5057367012328,1034.5057367012328,0.0,0.0,0.01,9.215278145231123
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000013,2022-03-04 15:00:00,1034.5057367012328,1048.7627692852427,1048.7627692852427,0.0,0.0,0.01,14.257032584009876
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000014,2022-03-08 10:30:00,1048.7627692852427,1063.906065515357,1063.906065515357,0.0,0.0,0.01,15.143296230114329
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000015,2022-03-08 18:15:00,1063.906065515357,1045.431899391189,1063.906065515357,18.47416612416805,1.7364471096627452,0.01,-18.47416612416812
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000016,2022-03-10 14:15:00,1045.431899391189,1035.7052889374154,1063.906065515357,28.200776577941724,2.650682940159876,0.01,-9.726610453773747
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000017,2022-03-11 14:30:00,1035.7052889374154,1024.7592969070345,1063.906065515357,39.146768608322645,3.6795324208777695,0.01,-10.945992030380994
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000018,2022-03-14 13:00:00,1024.7592969070345,1038.6795024897829,1063.906065515357,25.22656302557425,2.3711269108475737,0.01,13.920205582748322
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000019,2022-03-15 10:00:00,1038.6795024897829,1050.9456123161524,1063.906065515357,12.960453199204721,1.218195254195366,0.01,12.266109826369457
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000020,2022-03-15 13:30:00,1050.9456123161524,1066.6633818637763,1066.6633818637763,0.0,0.0,0.01,15.71776954762383
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000021,2022-03-18 10:00:00,1066.6633818637763,1062.6087808379114,1066.6633818637763,4.05460102586494,0.38012001675545976,0.01,-4.054601025865013
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000022,2022-03-18 13:00:00,1062.6087808379114,1072.991745329405,1072.991745329405,0.0,0.0,0.01,10.382964491493494
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000023,2022-03-21 19:00:00,1072.991745329405,1068.069369764248,1072.991745329405,4.922375565156926,0.45875241692989666,0.01,-4.922375565156999
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000024,2022-03-22 10:00:00,1068.069369764248,1075.607278183352,1075.607278183352,0.0,0.0,0.01,7.537908419103969
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000025,2022-03-23 14:15:00,1075.607278183352,1070.9084516024252,1075.607278183352,4.698826580926834,0.43685336425604354,0.01,-4.698826580926907
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000026,2022-03-24 10:00:00,1070.9084516024252,1077.3339481211335,1077.3339481211335,0.0,0.0,0.01,6.425496518708242
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000027,2022-03-24 13:45:00,1077.3339481211335,1089.7289510696814,1089.7289510696814,0.0,0.0,0.01,12.395002948547853
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000028,2022-03-30 18:30:00,1089.7289510696814,1085.570758480009,1089.7289510696814,4.158192589672353,0.3815804458155084,0.01,-4.158192589672426
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000029,2022-03-31 10:00:00,1085.570758480009,1081.6272566723023,1089.7289510696814,8.101694397379106,0.7434595905180326,0.01,-3.9435018077068253
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000030,2022-04-06 14:00:00,1081.6272566723023,1075.8479566324704,1089.7289510696814,13.88099443721103,1.273802483047312,0.01,-5.7793000398319965
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000031,2022-04-07 18:15:00,1075.8479566324704,1072.1196070698409,1089.7289510696814,17.609343999840576,1.6159379800412925,0.01,-3.728349562629619
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000032,2022-04-08 15:45:00,1072.1196070698409,1082.362333580804,1089.7289510696814,7.366617488877409,0.676004568075971,0.01,10.242726510963093
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000033,2022-04-11 19:15:00,1082.362333580804,1091.1276422686003,1091.1276422686003,0.0,0.0,0.01,8.765308687796205
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000034,2022-04-12 13:45:00,1091.1276422686003,1103.991034863206,1103.991034863206,0.0,0.0,0.01,12.863392594605711
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000035,2022-04-12 19:00:00,1103.991034863206,1098.6825802503126,1103.991034863206,5.308454612893456,0.4808421848779976,0.01,-5.308454612893529
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000036,2022-04-13 13:15:00,1098.6825802503126,1093.627494083175,1103.991034863206,10.363540780031144,0.9387341430100721,0.01,-5.055086167137761
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000037,2022-04-18 13:45:00,1093.627494083175,1089.6810275749262,1103.991034863206,14.310007288279849,1.2962068383148582,0.01,-3.9464665082487773
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000038,2022-04-21 14:00:00,1089.6810275749262,1084.3254065204687,1103.991034863206,19.665628342737364,1.7813213804923789,0.01,-5.355621054457588
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000039,2022-04-22 14:30:00,1084.3254065204687,1097.0631348202883,1103.991034863206,6.927900042917827,0.6275322737359232,0.01,12.737728299819464
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000040,2022-04-25 10:00:00,1097.0631348202883,1105.9615623905736,1105.9615623905736,0.0,0.0,0.01,8.898427570285248
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000041,2022-04-27 10:00:00,1105.9615623905736,1100.9522941429675,1105.9615623905736,5.009268247606087,0.45293330418991984,0.01,-5.00926824760616
proxy_hardened_no_worst_hours,proxy_hardened_no_worst_hours-000042,2022-04-27 13:00:00,1100.9522941429675,1112.1232816521094,1112.1232816521094,0.0,0.0,0.01,11.17098750914185
